id,name,artists,popularity,year,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,url
05QquCUFrpkKTHz5Sy09nc,Wash It All Away,Five Finger Death Punch,61,2015,1,225706,2.26e-05,0.486,0.984,0.0,4,0.28,-3.619,1,0.0717,123.64,0.2769999999999999,https://open.spotify.com/track/5DUuUSkiCxYwegegjVEOqA
05TOt5Vz4StdjMpEdFPlvB,All I Ask,Adele,68,2015,0,271800,0.889,0.591,0.28,0.0,4,0.124,-5.494,1,0.0283,141.916,0.348,https://open.spotify.com/track/1wMALZpuqAy7amQsFBWQ8m
05YoWLFjHU9qc4tXcCqtLW,Ava,Famy,53,2014,0,238480,0.0704,0.419,0.7909999999999999,0.00399,0,0.0812,-5.287999999999999,1,0.0381,155.984,0.379,https://open.spotify.com/track/4x0wdP2Kux6GYj2bAWHyO9
05bnEv2dpFzmGVLGdjD9UP,Orlando,XXXTENTACION,67,2017,1,163840,0.8590000000000001,0.57,0.0279,0.0892,1,0.254,-22.282,1,0.0588,84.902,0.28,https://open.spotify.com/track/05bnEv2dpFzmGVLGdjD9UP
05iMQqncVBIm4AE26EvaTL,Andar Conmigo,Julieta Venegas,69,2003,0,193373,0.3,0.77,0.585,0.0,0,0.1159999999999999,-8.06,1,0.0285,116.994,0.912,https://open.spotify.com/track/05iMQqncVBIm4AE26EvaTL
05mDaV9Vb3wrzjF6OPZnhq,Saint-Tropez,Post Malone,75,2019,1,150867,0.0545,0.617,0.684,0.0,0,0.104,-3.618,1,0.0439,132.113,0.295,https://open.spotify.com/track/7C39RtGhnEw7cyf0Pyw7PV
05nbZ1xxVNwUTcGwLbp7CN,Myself,NAV,72,2017,1,226040,0.648,0.7490000000000001,0.3979999999999999,1.26e-06,5,0.115,-7.44,0,0.171,80.032,0.0859,https://open.spotify.com/track/05nbZ1xxVNwUTcGwLbp7CN
05pKAafT85jeeNhZ6kq7HT,I Won't Give Up,Jason Mraz,67,2012,0,240166,0.6940000000000001,0.585,0.303,0.0,4,0.115,-10.058,1,0.0398,136.703,0.142,https://open.spotify.com/track/53QF56cjZA9RTuuMZDrSA6
05t7JMip6JrLuSrMV5yYjX,Envy Me,Calboy,63,2018,1,120137,0.282,0.556,0.481,0.0,11,0.216,-7.6629999999999985,1,0.313,149.025,0.581,https://open.spotify.com/track/6ymTp1jOINm0UURUZ2h603
06FCvd7rrRcF3DdvWH5Isp,LUST.,Kendrick Lamar,62,2017,1,307880,0.193,0.6779999999999999,0.562,0.0,3,0.104,-9.197,0,0.508,94.241,0.5660000000000001,https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp
06LFFPPS7MylCZXps3cO4m,Who Shot Cupid?,Juice WRLD,72,2019,1,214246,0.0558,0.758,0.932,0.0,3,0.0969999999999999,-2.809,1,0.0372,125.993,0.5920000000000001,https://open.spotify.com/track/06LFFPPS7MylCZXps3cO4m
06PWZnJXwdMNm7V86NHqAZ,Bodom Beach Terror,Children Of Bodom,36,2003,0,275027,3.44e-06,0.4270000000000001,0.946,0.911,4,0.1689999999999999,-4.365,0,0.0608,145.061,0.542,https://open.spotify.com/track/6gUQLhO6mqCTxw3GcplUhL
06TuMCjDEYjTOJScCRzmjf,Don't Let Go (Love),En Vogue,61,1997,0,291880,0.409,0.618,0.688,6.32e-06,5,0.3,-5.867000000000001,0,0.0477,78.311,0.561,https://open.spotify.com/track/06TuMCjDEYjTOJScCRzmjf
06WgOCf0LV2h4keYXDRnuh,Clean,Taylor Swift,53,2014,0,271000,0.242,0.81,0.38,0.0,4,0.113,-7.755,1,0.035,103.981,0.211,https://open.spotify.com/track/1NmVZsG18CzCAtw7rnV3yA
06WohfoFEUa5faNy8f9S5N,Adrenalize,In This Moment,58,2012,0,255773,0.0002299999999999,0.465,0.96,0.0,6,0.129,-3.888,1,0.0792,132.014,0.43,https://open.spotify.com/track/06WohfoFEUa5faNy8f9S5N
06YYzWTAibpHPEJTl4zVvm,Talento De Televisión,Willie Colón,55,1995,0,280107,0.7120000000000001,0.792,0.728,1.4300000000000004e-05,2,0.0634,-9.372,1,0.044,104.894,0.943,https://open.spotify.com/track/3fRIuTih8bzc0vtY9fHhvF
